Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
Dextrans,D003911,9004-54-0,Alzheimer Disease,MESH:D000544,,MPO,3.41,2
Ketone Bodies,D007657,,Alzheimer Disease,MESH:D000544,,APOE|APP|INS|VSNL1,3.41,48
Methoprene,D008726,40596-69-8,Alzheimer Disease,MESH:D000544,,ACE|MTHFR|NCK2,3.41,6
propiverine,C015586,60569-19-9,Alzheimer Disease,MESH:D000544,,TPP1,3.41,1
Endosulfan,D004726,115-29-7,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,3.41,1
Ivermectin,D007559,70288-86-7,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,3.41,1
Endosulfan,D004726,115-29-7,Alzheimer disease type 2,MESH:C536595,,APOE,3.41,1
Ivermectin,D007559,70288-86-7,Alzheimer disease type 2,MESH:C536595,,APOE,3.41,1
Endosulfan,D004726,115-29-7,Alzheimer disease type 4,MESH:C536596,,APOE,3.41,1
Ivermectin,D007559,70288-86-7,Alzheimer disease type 4,MESH:C536596,,APOE,3.41,1
"1,2-bis(isothiazol-5-yl)disulfane",C579148,,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
"1,4-anthraquinone",C416442,635-12-1,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
1'-(hydroxymethyl)eugenol,C108731,,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
"2',4'-dihydroxychalcone",C059354,25515-43-9,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
4-aminocrotonic acid,C055331,25747-40-4,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
"(4S,5S)-4,5-dihydroxy-1,2-dithiane",C060456,,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
5-aminoisoquinoline,C549098,,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
Allergens,D000485,,Alzheimer Disease,MESH:D000544,,APOC1|MIR100,3.40,3
amarogentin,C102609,21018-84-8,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
CFM 1,C119032,,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
Cobicistat,D000069547,,Alzheimer Disease,MESH:D000544,,BAX,3.40,1
Deoxyguanosine,D003849,961-07-9,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
dihydroouabain,C000977,1183-35-3,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
