drug_name,protein_target,inference_score
Ibuprofen,VEGFA,25.96
Memantine,ACHE,25.79
Memantine,APP,25.79
Memantine,ARC,25.79
Memantine,BAX,25.79
Memantine,BCL2,25.79
Memantine,CASP3,25.79
Memantine,GSK3B,25.79
Memantine,IL1B,25.79
Memantine,TNF,25.79
Tacrine,ACHE,24.83
Tacrine,BAX,24.83
Tacrine,BCHE,24.83
Tacrine,BCL2,24.83
Tacrine,BDNF,24.83
Tacrine,CHRNB2,24.83
Tacrine,HMOX1,24.83
Tacrine,IL1B,24.83
Tacrine,TNF,24.83
Bisdemethoxycurcumin,APP,22.93
Bisdemethoxycurcumin,HMOX1,22.93
Bisdemethoxycurcumin,IL1B,22.93
Bisdemethoxycurcumin,PLAU,22.93
Bisdemethoxycurcumin,PPARG,22.93
Bisdemethoxycurcumin,TNF,22.93
Bisdemethoxycurcumin,VEGFA,22.93
Haloperidol,ACHE,22.71
Haloperidol,APOC1,22.71
Haloperidol,ARC,22.71
Haloperidol,BAX,22.71
Haloperidol,BCL2,22.71
Haloperidol,BDNF,22.71
Haloperidol,CASP3,22.71
Haloperidol,CRH,22.71
Haloperidol,CST3,22.71
Haloperidol,CYP2D6,22.71
Haloperidol,ENO1,22.71
Haloperidol,GSK3B,22.71
Haloperidol,IL1B,22.71
Haloperidol,INS,22.71
Haloperidol,MAOB,22.71
Haloperidol,NPY,22.71
Haloperidol,PICALM,22.71
Haloperidol,RELN,22.71
Haloperidol,SLC2A4,22.71
Haloperidol,SOD2,22.71
Haloperidol,TNF,22.71
Haloperidol,TPI1,22.71
Haloperidol,VSNL1,22.71
Dronabinol,ABCA7,21.99
Dronabinol,ACHE,21.99
Dronabinol,ADAMTS1,21.99
Dronabinol,APP,21.99
Dronabinol,ARC,21.99
Dronabinol,ATP5F1A,21.99
Dronabinol,BACE1,21.99
Dronabinol,BAX,21.99
Dronabinol,BCL2,21.99
Dronabinol,BDNF,21.99
Dronabinol,CASP3,21.99
Dronabinol,CLU,21.99
Dronabinol,CRH,21.99
Dronabinol,CYP46A1,21.99
Dronabinol,DHCR24,21.99
Dronabinol,EIF2S1,21.99
Dronabinol,ENO1,21.99
Dronabinol,ESR1,21.99
Dronabinol,GSK3B,21.99
Dronabinol,HMOX1,21.99
Dronabinol,IGF1,21.99
Dronabinol,IGF1R,21.99
